cafe_name,cafe_name,cafe_address,cafe_phone,theme_num,cafe_time,cafe_hollyday,cafe_price,cafe_parking
42,리치망고,제주 제주시 한림읍 웅포리 596-2,064-796-7729,"휴식, 신나는, 오후, cycling",10:00~21:00,없음,"스페셜 망고 쉐이크:6500, 올인원망고쉐이크:8500",주차가능
43,너는파라다이스길리,제주 제주시 구좌읍 월정리 407,064-782-2208,"휴식, 센치함, 독서, 휴식, 정원","평일 10:00~20:00(Last Order 19:00), 주말 10:00~20:30(Last Order 19:30)
",없음,"Green Bowl:8500, 수제티라미수:6500, 맥주:7000",주차가능
44,벨로인커피,제주 제주시 도두1동 2547,064-712-4868,"휴식, 스트레스, 도시, 핸드드립, 기념품","월~금 10:00 ~ 24:00, 주말 10:00 ~ 01:00",없음,"퐁당쇼콜라:5500, 파파무롤:5000, 호두마롤:4500",미제공
45,"안녕, 육지사람(구:마를린 먼로)",제주 제주시 우도면 1197-4,070-4225-0170,"센치함, 빈티지, 기념품","하절기 09:00 ~ 22:00, 동절기09:00 ~ 18:30",없음,"에스프레소:3500, 아메리카노:4500, 카페라떼:5000",주차가능
46,심바카레,제주 제주시 애월읍 금성리 472-5,064-799-4164,"모던, 아늑함, diy",미제공,미제공,"계란 카레:11000, 고로케:5000, 돈카츠 샌드위치:8000",미제공
47,하도리1091,제주 제주시 구좌읍 하도리 1091-5,064-784-2062,"아늑함, 센치함, 로스팅, 핸드드립",2:00 ~ 17:30,없음,"갈릭새우플레이트:16000, 에스프레소:4000, 아메리카노(hot):4000
",주차불가
48,최마담네빵다방,제주 제주시 한림읍 협재리 1494-1,064-796-6872,"빵, 아늑함, cycling, 7080","월,화,수,금,토,일?11:00 ~ 20:00",목요일,"니카라과 디필토:6000, 카페수아:7000, 더치 몬더락:4000",주차불가
49,앙카페,제주 서귀포시 대정읍 하모리 1051-1,064-794-5871,"아늑함, 스트레스",09:00 ~ 22:00,없음,만원대,
50,우드스탁,제주 제주시 구좌읍 월정리 4-1,064-782-6948,"바다, 휴식, cycling",09:00 ~ 24:00,없음,"도피오:4000, 마끼아토:5500, 콘빠냐:5500",주차불가
51,쇠소깍돌카페,제주 서귀포시 하효동 999-3,070-4146-1775,"바다, 센치함, 바다, cycling, 기념품","월,화,목,금 12:00 ~ 21:00, 주말 11:00 ~ 21:00",수요일,"해물 크림 파스타:17000, 아메리카노:5000, 블루에이드:7000",미제공
52,카페 사생활,제주 제주시 삼도2동 62-2,010-7446-5110,"도시, 휴식, 핸드드립, 로스팅, 회의",11:00 ~ 19:00,목요일,"블랜드 (ICE):4500, 쇼데르블랜딩 (HOT):5000, 우유 (ICE):2000",주차불가
53,카페스만스,제주 제주시 용담1동 382-18,064-901-9899?,"도시, 휴식, cycling, 바다",10:00 ~ 23:00,없음,"에스프레소:3500, 카푸치노:4500, 바닐라라떼:5000",주차불가
54,한림로342점빵,제주 제주시 한림읍 협재리 1750-3,미제공,"시골, 빈티지, 핸드드립, 로스팅, 휴식",미제공,미제공,미제공,미제공
55,태희,제주 제주시 애월읍 곽지리 1575-3,064-799-5533,"우울함, 오후",09:00 ~ 21:00,없음,"바닐라라떼:5000, 새우 샌드위치&칩스:10000, 생맥주:6000",미제공
56,문문선,제주 제주시 이도2동 1999-14,010-7110-8506,"브런치, 아늑함, 회의",11:00 - 21:30,월요일 휴무매달 마지막주는 일요일 월요일 휴무,"아보카도 오픈 토스트:7500원, 카프레제 오픈 토스트:7000원, 프렌치 토스트:7500원",주차가능
57,꿈꾸는흰당나귀,제주 제주시 이도2동 1765-3,064-721-8611,"독서, 빈티지, 휴식, 도시",10:00 ~ 23:30,,"녹차라떼:4800, 생과일주스:5600, 벨기에리에주 와플(1개):4500",주차가능
58,오르다,제주 서귀포시 성산읍 성산리 308,미제공,"바다, 모던, 센치함",미제공,미제공,"아메리카노:5500, 카페라떼:6000, 코코넛 카페 스무디:12000",주차가능
59,아뜰리에안,제주 서귀포시 법환동 1541,064-739-8100,"바다, 센치함, 휴식, 아늑함",10:00 ~ 22:00,없음,"에스프레소 (HOT):4000, 아메리카노 (HOT):4000, 카푸치노 (HOT):5000",주차가능
60,달빵,제주 제주시 구좌읍 월정리 562,064-782-4847?,"빈티지, 빵, 센치함, 스트레스",11:00 ~ 20:00,없음,"달빵 블랜딩(hot):5000, 케냐 AA(hot):5000, 더치커피(ice):5500",미제공
61,마마롱,제주 서귀포시 동흥동 104-12,064-747-1074,"디저트, 모던",10:30 - 20:00,월요일,"아메리카노:4000, 카페라떼:5000, 퓨어다즐링:5000",주차가능
62,까미노,제주 제주시 애월읍 하가리 1400,064-799-9789,"시골, 모던, 센치함, 숲속, 휴식, 독서, 
핸드드립",10:30 ~ 20:00,없음,"포르뚜나(HOT):5500, 아메리카노:4000, 플렛화이트:5500",주차가능
63,몽땅,제주 제주시 한경면 청수리 157-11,064-772-0930,"모던, 휴식, 유럽풍","월,화,목,금,토,일 10:30 ~ 21:00",수요일,"제주 청귤차:4800, 제주 쑥떡:4000, 천혜향 에이드:6000",주차가능
64,호박다방,제주 제주시 애월읍 곽지리 1381,064-799-0778,"바다, 센치함, 7080, 맑음",10:00 ~ 20:00,없음,"에스프레소(HOT):3500, 아메리카노(HOT):4500, 카푸치노(ICE):5000",주차가능
65,제레미,제주 제주시 애월읍 애월리 1549,,"모던, 아늑함, 로스팅","월 12:00 ~ 19:00, 화~토 09:00 ~ 19:00",일요일,"Jeremy hand brewing (HOT):6000, Machanic:6000, With Milk:6000
",주차가능
66,카페 세바,제주 제주시 조천읍 선흘리 1093-1,070-4213-1268?,"센치함, 시골, 빈타지, 기념품, 숲속, 휴식, 독서",10:00 ~ 17:00,일요일,"민들레 아이스티:6,000, 아이스라떼:6,000, 자몽아이스티:6,000",주차가능
67,쓰담뜨담,제주 서귀포시 안덕면 창천리 794-2,064-738-4950,"바다, 센치함, diy, 기념품","동절기 10:00 ~ 18:00, 하절기 10:00 ~ 19:00",수요일,"에스프레소(HOT):3500, 카페라떼 (ICE):5000, 바닐라라떼(HOT):4500",주차가능
68,쌀다방,제주 제주시 삼도2동 967,010-8442-9160,"아늑함, 휴식, 7080, 도시",11:00 ~ 22:00,없음,"쌀다방라떼:5000, 에스프레소:3500, 녹차라떼:5000",주차가능
69,수제홍과일모찌,제주 제주시 애월읍 하귀동남3길 15,070-4548-5745,"디저트, 센치함, 기념품, 도시",10:00 ~ 20:00,없음,"에스프레소 (HOT):3500, 에스프레소 콘파냐 (HOT):4000, 아메리카노 (ICE):3500",주차가능
70,이정의댁,제주 서귀포시 중문동 1702-4,010-3156-8086?,"아늑함, 도시, 모던, 회의, 독서, 휴식",12:00~20:00,월요일,"아메리카노:4500, 콜드브루라떼:6000, 피치블로썸:5000",주차가능
71,숨비나리,제주 서귀포시 안뎍면 상창리 2090-1,064-792-3455,"모던, 휴식, 기념품, 맑음, 바다",10:30 ~ 21:00,없음,"핸드드립커피:5,000, 고구마라떼(HOT):5,000, 그린티라떼(ICE):5,500",주차가능
72,피시야카페,제주 제주시 조천읍 함덕리 215-6,064-782-5051,"모던, 센치함, 바다, 정원",09:00 ~ 20:00,없음,"아메리카노:4500, 아이스카페모카:6000, 허니 딸기 스무디:6000",주차가능
73,블랙포엠,제주 제주시 조천읍 함덕리 1010-2,064-759-0109,"바다, 모던, 드라이브, 로스팅, 핸드드립",09:00 ~ 23:00,없음,"고구마 라떼(C):4800, 대추차 (H):6000, 댕유자차(H):5500",주차가능
74,와랑와랑,제주 서귀포시 남원읍 위미리 875-1,070-4656-1761,"정원, 눈, 핸드드립, 로스팅, 시골, 바다",11:00 ~ 18:00,없음,"파퓨아뉴기니 블루마운틴 (HOT):4500, 케냐 키앙부 AA (HOT):4500, 과테말라 안티구아 (ICE):5000",주차불가
75,하이엔드,제주 제주시 애월읍 애월리 2550,070-4548-4433,"모던, 휴식, 센치함, 바다, 휴식, 우울",09:00 ~ 21:00,없음,"아메리카노 (HOT):5,500, 카페라떼 (ICE):6,500, 카푸치노 (HOT):6,500",주차가능
76,모드락,제주 제주시 용담3동 503-5,064-713-2666,"모던, 회의, 바다, 꽃",09:00 ~ 01:00,,"클래식버거13,000, 더치커피:7000, 에스프레소:5500",주차가능
77,꽃담팥집,제주 서귀포시 성산읍 성산리111,064-782-0761,"아늑함, 디저트, 드라이브, 꽃",06:00 ~ 19:00,없음,"옛날 다방커피:4000, 나제주도왔어(딸기,자몽,망고,감귤,대추):7000, 진한 대추차:7500",주차가능
78,마노르블랑,제주 서귀포시 안덕면 덕수리 2952,064-794-0999,"티뮬리, 센치함, 회의, 바다, 유럽풍, 결혼, 사랑",10:00 ~ 21:00,없음,"제주 애플망고 주스:시가, 아메리카노 (HOT):5000, 아메리카노 (ICE):5500",주차가능
79,도쿄빵야,제주 제주시 노형동 914-7,064-711-5950,"디저트, 도시, 회의, 빵",08:30 ~ 23:00,없음,"에스프레소:3000, 카페모카:4500, 밀크티:4500",주차가능
80,쉼표,제주 제주시 한림읍 협재리 1732,064-796-7790,"휴식, 바다, 노을","비수기 09:30 ~ 22:00, 성수기09:00 ~ 24:00",수요일,"오메기감저빙수:12,000, 감귤스무디:6,500, 한라봉차(HOT):5,500",주차가능
81,카페 인디고,제주 제주시 애월읍 고내리 1218-1,064-799-1218,"휴식, 센치함, 바다, 독서",11:00 ~ 19:00,"월요일,일요일","에스프레소(hot):4000, 아메리카노(hot):4000, 딜라이트 라떼(hot):5500",주차가능
82,서홍정원 ,제주 서귀포시 서홍동 449-8,064-762-5858?,"센치함, 아늑함, 디저트, 숲속, 시골",10:00 ~ 22:00,없음,"에스프레소:3000, 얼그레이밀크티:5500, 카푸치노 번:5500 ",주차가능
83,마틸다카페,제주 제주시 애월읍 고내리 841,064-799-3629,"신나는, 7080, 오후, 음악",19:00 ~ 02:00,화요일,"에스프레소:7000, 아메리카노:7000, 마틸다 커피:8000",주차가능
84,스크류드라이버,제주 제주시 연동 302-3,064-747-7222,"브런치, 모던, 휴식, 도시, 독서",매일 11:30 ~ 23:00,없음,"모닝세트:6000, ZZZ제주한우 더블치즈버:9000",주차가능
85,The 몹시,제주 제주시 월대1길 10,010-5661-5140,"디저트, 신나는, 바다, 신나는",11:00 - 22:00,없음,"망고스무디: 6500
, 에스프레소: 4000, 쥬스: 6000~7000",미제공
86,달자카페,제주 제주시 애월읍 애월해안로 738,064-744-8877,"바다, 모던, 센치함, 맑음, 신나는",09:30 - 23:00,없음,"아메리카노: 4000~5000, 카페모카: 5000~5500, 허니브레드: 5500",주차가능
87,예향,제주 제주시 애월읍 고내리 502-3,064-799-4675,"티뮬리에, 스트레스, 아늑함",10:00 - 20:00,없음,대추차: 8000,
88,쉴만한 물가,제주 제주시 한림읍 월령안길 28,064-796-3808,"바다, 센치함, 스트레스, 독서",09:30 - 20:30,없음,"아메리카노: 3000, 카페라떼: 3500, , 과일쥬스: 4000",미제공
89,알로하서재,제주 제주시 한림읍 협재 1길 24,070-8860-5564,"독서, 우울함, 휴식, 가을비, 가을, 바람",14:00 - 22:00,"월요일, 화요일",미제공,미제공
90,카페 사우다드,제주 제주시 한경면 노을해안로 1143,064-772-1327,"아늑함, 휴식, 바람, 빈티지",11:00 - 18:00,없음,"에스프레소: 3500, 카푸치노: 4500, 제주 댕유자에이드: 6500",주차가능
91,벨롱,"제주 제주시 구좌읍 해맞이해안로 1652, 하도리 1893",070-8242-1899,"바다, 음악, 시골",11:30 - 20:00,없음,"샌드위치: 6000~7000, 커피: 4000~5500",주차가능
92,바움,제주 서귀포시 성산읍 서성일로1168번길 89-17,064-784-2255?,"아늑함, 빈티지, 휴식, 사랑, 결혼",09:00~19:00,없음,미제공,주차가능
93,애견 카페 왈,제주 서귀포시 남원읍 남태해안로 285-1,010-6764-5437,"애견동반, 정원, 시골, 바다, 드라이브",10:00 - 19:00,없음,"1인 1음료 변동, 애견호텔(소/중/대형견 가능) 변동, 셀프목욕 변동",주차가능
94,물고기 카페,제주 서귀포시 안덕면 난드르로 25-7,070-8147-0804,"빈티지, 시골, 벽돌, 바다",12:00 - 21:00,월요일,"아메리카노: 6000, 유자차: 6000, 카페라떼: 6000",미제공
95,모리노코에,제주 제주시 구남로2길 30,064-723-0099,"핸드드립, 디저트, 도시, 독서, 숲속, 로스팅",09:00 - 21:30,없음,"초코라떼: 4500, 레몬티: 4000, 히비스커스 아이스티: 4500",미제공
96,카페 카노푸스,제주 서귀포시 중문관광로 198,064-735-3036,"정원, 맑음, 시골, 바다, 숲속, 결혼, 사랑",08:00 - 22:00,,"아메리카노: 8000, 카푸치노:11000, 소등심 수제버거: 19000",주차가능
97,아일렛,제주 제주시 구남동2길 19-6,064-723-6370,"비오는 맑음, 우울함, 유럽풍",11:00 - 22:00,월요일,"핸드드립: 5000, 아메리카노: 3500, 수제 요거트: 5500",주차가능
98,MHK cafe,제주 제주시 동고산로 10,미제공,"도시, 신나는 오후",12:00 - 21:00,일요일,"아메리카노: 3500, 모카: 4500, 민트 초코 라떼: 5500",미제공
99,941hz,제주 제주시 원노형로 37,070-7570-9417,"도시,  신나는, 가을, 유럽풍",11:00 - 23:00,없음,"유자몽스무디: 6000, 그린티썸머라떼: 6000, 큐브라떼: 5000",주차가능
100,순아커피,제주 제주시 관덕로 32-1,미제공,"빈티지, 비오는 맑음, 7080","월~토: 11:00 - 19:00
일요일: 13:00 - 19:00",수요일,"아메리카노: 4000, 녹차 (유기농,우전): 6000, 스무디 (블루베리/딸기/망고): 6000",주차가능
